Index Coding (Basic Antidotes,random) Log File
2012/10/12 17:09:57

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
4	4	4	4	0.21875	[[ 0.25   0.125  0.5    0.   ]]
4	4	4	4	0.09375	[[ 0.25   0.     0.     0.125]]
4	4	4	3	0.07143	[[ 0.143  0.     0.     0.143]]
4	4	5	4	0.08333	[[ 0.     0.111  0.111  0.111]]
4	4	4	3	0.00000	[[ 0.  0.  0.  0.]]
4	4	5	4	0.16667	[[ 0.111  0.333  0.111  0.111]]
4	4	4	3	0.07143	[[ 0.143  0.     0.143  0.   ]]
4	4	4	3	0.10714	[[ 0.286  0.     0.143  0.   ]]
4	4	4	3	0.00000	[[ 0.  0.  0.  0.]]
4	4	4	4	0.09375	[[ 0.     0.     0.25   0.125]]
4	4	5	3	0.15625	[[ 0.125  0.125  0.125  0.25 ]]
4	4	4	3	0.10714	[[ 0.143  0.143  0.143  0.   ]]
4	4	5	3	0.12500	[[ 0.25  0.    0.25  0.  ]]
4	4	6	7	0.19231	[[ 0.231  0.077  0.308  0.154]]
4	4	4	3	0.00000	[[ 0.  0.  0.  0.]]
4	4	4	3	0.10714	[[ 0.286  0.     0.143  0.   ]]
#larger semicircle
4	4	5	3	0.18750	[[ 0.25   0.     0.125  0.375]]
4	4	14	6	0.33750	[[ 0.2   0.1   0.25  0.8 ]]
4	4	5	3	0.18750	[[ 0.     0.     0.375  0.375]]
4	4	5	7	0.27083	[[ 0.25   0.25   0.25   0.333]]
4	4	4	3	0.17857	[[ 0.286  0.143  0.143  0.143]]
4	4	5	3	0.21875	[[ 0.25   0.25   0.25   0.125]]
4	4	6	3	0.13889	[[ 0.222  0.     0.111  0.222]]
4	4	5	4	0.33333	[[ 0.556  0.222  0.333  0.222]]
4	4	4	3	0.07143	[[ 0.143  0.143  0.     0.   ]]
4	4	4	4	0.34375	[[ 0.     0.5    0.5    0.375]]
4	4	5	4	0.13889	[[ 0.556  0.     0.     0.   ]]
4	4	4	3	0.00000	[[ 0.  0.  0.  0.]]
4	4	4	3	0.17857	[[ 0.143  0.143  0.429  0.   ]]
4	4	6	3	0.30556	[[ 0.444  0.333  0.222  0.222]]
4	4	4	3	0.17857	[[ 0.143  0.143  0.286  0.143]]
4	4	5	3	0.15625	[[ 0.25   0.     0.375  0.   ]]
4	4	4	3	0.25000	[[ 0.429  0.286  0.286  0.   ]]
4	4	4	3	0.03571	[[ 0.143  0.     0.     0.   ]]
4	4	5	3	0.21875	[[ 0.     0.375  0.125  0.375]]
4	4	4	3	0.17857	[[ 0.286  0.     0.286  0.143]]
4	4	4	3	0.07143	[[ 0.143  0.     0.143  0.   ]]
4	4	4	3	0.07143	[[ 0.286  0.     0.     0.   ]]
4	4	4	3	0.00000	[[ 0.  0.  0.  0.]]
4	4	4	4	0.12500	[[ 0.25   0.125  0.125  0.   ]]
4	4	5	3	0.12500	[[ 0.125  0.125  0.25   0.   ]]
4	4	4	3	0.03571	[[ 0.     0.143  0.     0.   ]]
4	4	6	3	0.13889	[[ 0.444  0.     0.111  0.   ]]
4	4	4	3	0.14286	[[ 0.143  0.     0.286  0.143]]
4	4	8	3	0.20455	[[ 0.182  0.273  0.273  0.091]]
4	4	5	3	0.18750	[[ 0.    0.    0.5   0.25]]
4	4	4	4	0.21875	[[ 0.25   0.25   0.375  0.   ]]
4	4	6	7	0.11538	[[ 0.308  0.     0.154  0.   ]]
4	4	5	4	0.27778	[[ 0.667  0.111  0.333  0.   ]]
4	4	4	4	0.15625	[[ 0.5    0.     0.125  0.   ]]
4	4	4	3	0.17857	[[ 0.     0.286  0.286  0.143]]
4	4	4	4	0.09375	[[ 0.375  0.     0.     0.   ]]
4	4	8	4	0.41667	[[ 0.667  0.333  0.417  0.25 ]]
4	4	5	6	0.18182	[[ 0.364  0.091  0.182  0.091]]
4	4	5	5	0.17500	[[ 0.5  0.2  0.   0. ]]
4	4	4	4	0.18750	[[ 0.25   0.125  0.25   0.125]]
4	4	6	3	0.19444	[[ 0.333  0.222  0.222  0.   ]]
4	4	5	5	0.27500	[[ 0.3  0.2  0.4  0.2]]
4	4	8	4	0.31250	[[ 0.5   0.25  0.5   0.  ]]
4	4	4	3	0.00000	[[ 0.  0.  0.  0.]]
4	4	5	4	0.19444	[[ 0.444  0.222  0.     0.111]]
4	4	4	3	0.21429	[[ 0.286  0.143  0.286  0.143]]
4	4	5	3	0.09375	[[ 0.     0.25   0.     0.125]]
4	4	7	3	0.35000	[[ 0.4  0.5  0.3  0.2]]
4	4	6	3	0.22222	[[ 0.444  0.222  0.111  0.111]]
4	4	5	3	0.25000	[[ 0.25  0.25  0.25  0.25]]
4	4	5	7	0.20833	[[ 0.25   0.167  0.25   0.167]]
4	4	5	3	0.15625	[[ 0.25   0.     0.375  0.   ]]
4	4	6	3	0.13889	[[ 0.222  0.     0.111  0.222]]
4	4	6	3	0.13889	[[ 0.     0.111  0.222  0.222]]
4	4	4	7	0.13636	[[ 0.091  0.182  0.091  0.182]]
4	4	4	4	0.03125	[[ 0.125  0.     0.     0.   ]]
4	4	4	3	0.07143	[[ 0.     0.     0.143  0.143]]
4	4	5	3	0.31250	[[ 0.375  0.5    0.125  0.25 ]]
4	4	4	4	0.21875	[[ 0.375  0.25   0.25   0.   ]]
4	4	6	3	0.25000	[[ 0.222  0.222  0.222  0.333]]
4	4	5	5	0.27500	[[ 0.2  0.5  0.2  0.2]]
4	4	9	4	0.25000	[[ 0.154  0.615  0.154  0.077]]
4	4	6	5	0.25000	[[ 0.182  0.455  0.273  0.091]]
4	4	5	6	0.40909	[[ 0.455  0.636  0.364  0.182]]
4	4	5	4	0.16667	[[ 0.     0.444  0.222  0.   ]]
4	4	4	4	0.28125	[[ 0.375  0.5    0.125  0.125]]
4	4	5	5	0.30000	[[ 0.2  0.5  0.4  0.1]]
4	4	4	5	0.33333	[[ 0.444  0.556  0.222  0.111]]
4	4	4	4	0.12500	[[ 0.25   0.     0.125  0.125]]
4	4	6	3	0.19444	[[ 0.222  0.333  0.111  0.111]]
4	4	6	5	0.27273	[[ 0.182  0.364  0.455  0.091]]
4	4	5	9	0.32143	[[ 0.071  0.714  0.429  0.071]]
4	4	6	8	0.26786	[[ 0.214  0.5    0.286  0.071]]
4	4	5	3	0.34375	[[ 0.375  0.375  0.375  0.25 ]]
4	4	6	4	0.20000	[[ 0.2  0.3  0.3  0. ]]
4	4	7	7	0.37500	[[ 0.071  0.571  0.429  0.429]]
4	4	45	20	0.42692	[[ 0.185  0.431  0.169  0.923]]
4	4	8	5	0.26923	[[ 0.077  0.231  0.077  0.692]]
4	4	5	4	0.33333	[[ 0.333  0.222  0.222  0.556]]
4	4	4	4	0.12500	[[ 0.125  0.125  0.25   0.   ]]
4	4	10	3	0.42308	[[ 0.077  0.538  0.538  0.538]]
4	4	7	5	0.25000	[[ 0.167  0.417  0.167  0.25 ]]
4	4	4	5	0.25000	[[ 0.111  0.333  0.333  0.222]]
4	4	8	8	0.32812	[[ 0.062  0.5    0.375  0.375]]
4	4	6	28	0.30147	[[ 0.029  0.206  0.176  0.794]]
4	4	7	10	0.22059	[[ 0.     0.118  0.176  0.588]]
4	4	10	12	0.29545	[[ 0.091  0.091  0.273  0.727]]
4	4	5	7	0.41667	[[ 0.167  0.417  0.5    0.583]]
4	4	5	4	0.22222	[[ 0.111  0.222  0.333  0.222]]
4	4	12	7	0.28947	[[ 0.105  0.579  0.158  0.316]]
4	4	4	9	0.21154	[[ 0.231  0.462  0.154  0.   ]]
4	4	6	4	0.25000	[[ 0.1  0.8  0.1  0. ]]
4	4	5	9	0.37500	[[ 0.643  0.429  0.143  0.286]]
4	4	8	7	0.40000	[[ 0.133  0.533  0.2    0.733]]
4	4	25	11	0.30556	[[ 0.111  0.889  0.056  0.167]]
4	4	24	15	0.40385	[[ 0.462  0.795  0.154  0.205]]
4	4	9	7	0.45312	[[ 0.5    0.562  0.312  0.438]]
4	4	10	12	0.42045	[[ 0.     0.818  0.182  0.682]]
4	4	30	8	0.59211	[[ 0.079  0.895  0.526  0.868]]
4	4	8	14	0.42045	[[ 0.182  0.682  0.273  0.545]]
