Index Coding (Basic Antidotes,random) Log File
2012/13/12 11:00:16

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
12	1	40	18	0.44253	0.448	0.328	0.379	0.448	0.431	0.569	0.190	0.569	0.638	0.431	0.707	0.172
12	1	34	16	0.46667	0.480	0.320	0.580	0.340	0.460	0.520	0.380	0.500	0.540	0.600	0.660	0.220
12	1	30	13	0.44574	0.419	0.279	0.535	0.465	0.465	0.535	0.163	0.488	0.698	0.674	0.512	0.116
12	1	29	25	0.38889	0.370	0.278	0.389	0.389	0.481	0.500	0.167	0.481	0.500	0.444	0.537	0.130
12	1	31	12	0.44380	0.419	0.465	0.535	0.488	0.512	0.628	0.116	0.442	0.651	0.395	0.581	0.093
12	1	28	15	0.42636	0.372	0.326	0.535	0.419	0.419	0.581	0.209	0.488	0.465	0.488	0.674	0.140
12	1	29	14	0.44574	0.395	0.349	0.442	0.349	0.488	0.535	0.209	0.605	0.558	0.744	0.488	0.186
12	1	19	23	0.35119	0.405	0.262	0.405	0.333	0.310	0.405	0.143	0.405	0.452	0.452	0.548	0.095
12	1	28	20	0.45660	0.438	0.479	0.479	0.438	0.417	0.521	0.167	0.542	0.646	0.521	0.646	0.188
12	1	26	13	0.43376	0.333	0.308	0.513	0.590	0.385	0.436	0.205	0.487	0.564	0.590	0.615	0.179
12	1	24	14	0.46711	0.368	0.447	0.500	0.605	0.447	0.579	0.263	0.368	0.553	0.605	0.684	0.184
12	1	31	12	0.44574	0.395	0.395	0.442	0.581	0.488	0.512	0.023	0.512	0.605	0.721	0.651	0.023
12	1	29	23	0.40865	0.288	0.327	0.308	0.558	0.404	0.596	0.173	0.481	0.558	0.423	0.635	0.154
12	1	22	13	0.43095	0.286	0.314	0.429	0.400	0.514	0.543	0.200	0.457	0.657	0.571	0.571	0.229
12	1	35	11	0.44746	0.370	0.500	0.543	0.391	0.391	0.674	0.087	0.565	0.543	0.630	0.587	0.087
12	1	25	51	0.31469	0.276	0.263	0.276	0.211	0.276	0.658	0.145	0.395	0.487	0.263	0.395	0.132
