Index Coding (Basic Antidotes, random) Log File
2012/09/12 14:57:38

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	13	18	0.39919	[[ 0.484  0.355  0.387  0.355  0.387  0.452  0.452  0.323]]
8	4	10	7	0.28676	[[ 0.588  0.353  0.118  0.059  0.471  0.059  0.235  0.412]]
8	4	10	8	0.22917	[[ 0.333  0.167  0.222  0.167  0.222  0.222  0.111  0.389]]
8	4	15	8	0.34783	[[ 0.435  0.261  0.348  0.304  0.478  0.087  0.435  0.435]]
8	4	14	7	0.29762	[[ 0.381  0.286  0.286  0.238  0.333  0.143  0.19   0.524]]
8	4	9	7	0.30469	[[ 0.25   0.188  0.312  0.312  0.312  0.188  0.438  0.438]]
8	4	13	8	0.35119	[[ 0.571  0.238  0.19   0.238  0.571  0.19   0.238  0.571]]
8	4	11	9	0.33750	[[ 0.35  0.3   0.35  0.2   0.6   0.25  0.25  0.4 ]]
8	4	15	8	0.35326	[[ 0.522  0.565  0.348  0.217  0.435  0.087  0.174  0.478]]
8	4	12	8	0.36250	[[ 0.4   0.45  0.3   0.3   0.45  0.15  0.2   0.65]]
8	4	17	17	0.34926	[[ 0.353  0.412  0.353  0.176  0.529  0.088  0.412  0.471]]
8	4	15	9	0.38542	[[ 0.458  0.333  0.208  0.292  0.417  0.333  0.5    0.542]]
8	4	16	8	0.36979	[[ 0.292  0.375  0.333  0.208  0.5    0.208  0.458  0.583]]
8	4	13	8	0.29167	[[ 0.333  0.381  0.476  0.     0.571  0.095  0.19   0.286]]
8	4	14	7	0.36905	[[ 0.571  0.333  0.286  0.143  0.429  0.286  0.429  0.476]]
8	4	12	8	0.25625	[[ 0.35  0.25  0.3   0.05  0.45  0.1   0.2   0.35]]
8	4	11	8	0.30263	[[ 0.474  0.211  0.421  0.105  0.368  0.368  0.211  0.263]]
8	4	9	8	0.25000	[[ 0.294  0.353  0.118  0.059  0.412  0.118  0.294  0.353]]
8	4	14	10	0.35938	[[ 0.375  0.542  0.333  0.208  0.333  0.292  0.292  0.5  ]]
8	4	17	7	0.39062	[[ 0.458  0.333  0.25   0.292  0.625  0.25   0.542  0.375]]
8	4	13	8	0.32143	[[ 0.429  0.19   0.238  0.19   0.333  0.333  0.333  0.524]]
8	4	15	8	0.31522	[[ 0.435  0.217  0.261  0.174  0.435  0.13   0.435  0.435]]
8	4	13	9	0.31250	[[ 0.364  0.409  0.182  0.091  0.5    0.182  0.273  0.5  ]]
8	4	22	8	0.40417	[[ 0.533  0.5    0.4    0.233  0.367  0.3    0.5    0.4  ]]
8	4	23	10	0.29545	[[ 0.636  0.242  0.212  0.121  0.273  0.121  0.455  0.303]]
8	4	14	14	0.36161	[[ 0.643  0.393  0.321  0.071  0.464  0.214  0.5    0.286]]
8	4	30	17	0.38298	[[ 0.638  0.404  0.362  0.149  0.383  0.213  0.383  0.532]]
8	4	15	9	0.27083	[[ 0.375  0.292  0.375  0.083  0.25   0.25   0.25   0.292]]
8	4	13	7	0.31875	[[ 0.45  0.35  0.4   0.05  0.5   0.15  0.4   0.25]]
8	4	20	8	0.37500	[[ 0.536  0.321  0.357  0.071  0.464  0.143  0.786  0.321]]
8	4	17	10	0.36574	[[ 0.667  0.259  0.444  0.296  0.444  0.148  0.296  0.37 ]]
8	4	20	10	0.39583	[[ 0.533  0.433  0.267  0.233  0.433  0.2    0.5    0.567]]
8	4	14	9	0.31522	[[ 0.348  0.391  0.435  0.13   0.304  0.043  0.391  0.478]]
8	4	12	8	0.27500	[[ 0.65  0.25  0.1   0.1   0.45  0.1   0.25  0.3 ]]
8	4	14	8	0.34659	[[ 0.5    0.318  0.273  0.182  0.545  0.045  0.455  0.455]]
8	4	10	8	0.27083	[[ 0.444  0.389  0.222  0.     0.278  0.222  0.333  0.278]]
8	4	11	8	0.34211	[[ 0.368  0.316  0.211  0.105  0.474  0.158  0.474  0.632]]
8	4	14	16	0.33333	[[ 0.467  0.533  0.233  0.067  0.4    0.167  0.333  0.467]]
8	4	19	9	0.29464	[[ 0.5    0.321  0.393  0.107  0.357  0.107  0.25   0.321]]
8	4	15	8	0.40761	[[ 0.391  0.522  0.478  0.174  0.565  0.391  0.348  0.391]]
8	4	14	9	0.32065	[[ 0.304  0.348  0.348  0.217  0.435  0.217  0.304  0.391]]
8	4	16	8	0.34375	[[ 0.5    0.292  0.208  0.167  0.625  0.208  0.25   0.5  ]]
8	4	12	8	0.34375	[[ 0.55  0.45  0.25  0.15  0.5   0.1   0.3   0.45]]
8	4	12	8	0.26875	[[ 0.35  0.3   0.2   0.1   0.2   0.2   0.5   0.3 ]]
8	4	14	16	0.32083	[[ 0.467  0.333  0.367  0.067  0.4    0.133  0.433  0.367]]
8	4	12	10	0.28409	[[ 0.364  0.273  0.182  0.136  0.364  0.136  0.591  0.227]]
8	4	9	11	0.33125	[[ 0.55  0.35  0.35  0.25  0.45  0.1   0.3   0.3 ]]
8	4	25	12	0.40878	[[ 0.676  0.378  0.378  0.243  0.622  0.189  0.432  0.351]]
8	4	9	8	0.36029	[[ 0.647  0.353  0.118  0.235  0.294  0.118  0.588  0.529]]
8	4	15	13	0.39286	[[ 0.607  0.357  0.321  0.393  0.357  0.286  0.393  0.429]]
8	4	18	8	0.37019	[[ 0.692  0.269  0.192  0.308  0.462  0.192  0.462  0.385]]
8	4	16	8	0.34896	[[ 0.458  0.25   0.375  0.208  0.333  0.333  0.333  0.5  ]]
