Index Coding (Basic Antidotes) Log File
2012/10/12 11:36:04

N	PIECES	numTDMA	numIndex	epsAvg	epsVec
8	4	16	8	0.33333	[[ 0.25   0.208  0.25   0.25   0.167  0.417  0.583  0.542]]
8	4	17	9	0.28846	[[ 0.192  0.154  0.423  0.077  0.154  0.5    0.346  0.462]]
8	4	11	8	0.33553	[[ 0.368  0.158  0.211  0.263  0.158  0.474  0.526  0.526]]
8	4	15	46	0.32992	[[ 0.328  0.213  0.246  0.082  0.164  0.869  0.295  0.443]]
8	4	17	14	0.43145	[[ 0.452  0.29   0.484  0.226  0.194  0.774  0.581  0.452]]
8	4	12	12	0.33854	[[ 0.375  0.208  0.208  0.125  0.167  0.792  0.542  0.292]]
8	4	38	15	0.35377	[[ 0.245  0.302  0.321  0.151  0.189  0.66   0.623  0.34 ]]
8	4	19	17	0.35764	[[ 0.361  0.25   0.361  0.194  0.194  0.556  0.556  0.389]]
8	4	18	8	0.34135	[[ 0.308  0.269  0.385  0.154  0.269  0.577  0.423  0.346]]
8	4	13	11	0.31771	[[ 0.417  0.125  0.333  0.125  0.25   0.5    0.583  0.208]]
8	4	13	8	0.32738	[[ 0.286  0.286  0.333  0.19   0.333  0.333  0.381  0.476]]
8	4	11	16	0.30556	[[ 0.296  0.259  0.296  0.074  0.222  0.519  0.333  0.444]]
8	4	13	28	0.29268	[[ 0.39   0.195  0.317  0.049  0.122  0.39   0.707  0.171]]
8	4	12	19	0.25806	[[ 0.29   0.097  0.226  0.097  0.097  0.387  0.71   0.161]]
8	4	14	9	0.28261	[[ 0.217  0.261  0.217  0.087  0.174  0.565  0.391  0.348]]
8	4	14	8	0.21591	[[ 0.227  0.045  0.318  0.091  0.     0.227  0.591  0.227]]
8	4	14	9	0.33152	[[ 0.304  0.217  0.304  0.174  0.217  0.522  0.435  0.478]]
8	4	10	8	0.29167	[[ 0.167  0.222  0.222  0.056  0.278  0.5    0.444  0.444]]
8	4	9	8	0.24265	[[ 0.118  0.176  0.235  0.059  0.235  0.412  0.412  0.294]]
8	4	21	7	0.41964	[[ 0.536  0.393  0.464  0.286  0.286  0.464  0.429  0.5  ]]
8	4	15	8	0.31522	[[ 0.304  0.478  0.304  0.174  0.13   0.391  0.435  0.304]]
8	4	13	8	0.39286	[[ 0.333  0.429  0.524  0.143  0.238  0.524  0.381  0.571]]
8	4	19	7	0.41346	[[ 0.538  0.346  0.538  0.192  0.269  0.346  0.462  0.615]]
